6/22/2022/5:36 PM SW ver:OXY10v3_33
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1230819
PM number         : 00000000
Serial number     : S DUK 0001 000004   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 100
Ref LED current   : 050
Ref LED amplitude : 103408
Frequency         : 006
Sending interval  : 0001
Averaging         : 5
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 1
0%a.s.phase 1     : 50.03 at 024.7°C amp 013700
100.00%a.s.phase 2: 29.44 at 024.7°C amp 007800
Date   (ddmmyy)   : 121117
Pressure (mBar)   : 0979

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 979
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
6/22/2022;5:36:07 PM;0.00;7.714;27.390;7014.000;30.000
6/22/2022;5:36:22 PM;0.25;7.673;27.440;7020.000;30.000
6/22/2022;5:36:37 PM;0.50;7.688;27.420;7024.000;30.000
6/22/2022;5:36:52 PM;0.75;7.707;27.400;7023.000;30.000
6/22/2022;5:37:07 PM;1.00;7.602;27.540;7031.000;30.000
6/22/2022;5:37:22 PM;1.25;7.670;27.450;7012.000;30.000
6/22/2022;5:37:37 PM;1.50;7.663;27.460;7017.000;30.000
6/22/2022;5:37:52 PM;1.75;7.677;27.440;7019.000;30.000
6/22/2022;5:38:07 PM;2.00;7.632;27.500;7024.000;30.000
6/22/2022;5:38:22 PM;2.25;7.690;27.420;7005.000;30.000
6/22/2022;5:38:37 PM;2.50;7.728;27.370;7022.000;30.000
6/22/2022;5:38:52 PM;2.75;7.718;27.380;7016.000;30.000
6/22/2022;5:39:07 PM;3.00;7.682;27.430;7025.000;30.000
6/22/2022;5:39:22 PM;3.25;7.658;27.460;7019.000;30.000
6/22/2022;5:39:37 PM;3.50;7.676;27.440;7008.000;30.000
6/22/2022;5:39:52 PM;3.75;7.741;27.350;7011.000;30.000
6/22/2022;5:40:07 PM;4.00;7.719;27.380;7021.000;30.000
6/22/2022;5:40:22 PM;4.25;7.686;27.430;7007.000;30.000
6/22/2022;5:40:37 PM;4.50;7.741;27.350;7018.000;30.000
6/22/2022;5:40:52 PM;4.75;7.765;27.320;7016.000;30.000
6/22/2022;5:41:07 PM;5.00;7.656;27.470;7010.000;30.000
6/22/2022;5:41:22 PM;5.25;7.709;27.400;7011.000;30.000
6/22/2022;5:41:37 PM;5.50;7.621;27.510;7013.000;30.000
6/22/2022;5:41:52 PM;5.75;7.738;27.360;7006.000;30.000
6/22/2022;5:42:07 PM;6.00;7.713;27.390;7006.000;30.000
6/22/2022;5:42:22 PM;6.25;7.763;27.330;7003.000;30.000
6/22/2022;5:42:37 PM;6.50;7.728;27.370;7003.000;30.000
6/22/2022;5:42:52 PM;6.75;7.645;27.480;7021.000;30.000
