6/24/2022/12:53 AM SW ver:OXY10v3_33
Header Ch-9
Description: 
IDENTIFICATION
PHIboard number   : v1230827
PM number         : 00000000
Serial number     : S DUK 0001 000004   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 100
Ref LED current   : 065
Ref LED amplitude : 99689
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 1
0%a.s.phase 1     : 43.47 at 024.7°C amp 011000
100.00%a.s.phase 2: 29.68 at 024.7°C amp 007100
Date   (ddmmyy)   : 180216
Pressure (mBar)   : 0973

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 973
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
6/24/2022;12:53:49 AM;0.00;6.954;28.000;6516.000;30.000
6/24/2022;12:53:50 AM;0.03;6.985;27.960;6515.000;30.000
6/24/2022;12:54:03 AM;0.25;7.162;27.740;6463.000;30.000
6/24/2022;12:54:18 AM;0.50;6.928;28.030;6534.000;30.000
6/24/2022;12:54:33 AM;0.75;6.704;28.320;6603.000;30.000
6/24/2022;12:54:48 AM;1.00;6.713;28.300;6603.000;30.000
6/24/2022;12:55:03 AM;1.25;6.637;28.400;6625.000;30.000
6/24/2022;12:55:18 AM;1.50;6.681;28.350;6626.000;30.000
6/24/2022;12:55:33 AM;1.75;6.620;28.430;6624.000;30.000
6/24/2022;12:55:48 AM;2.00;6.656;28.380;6634.000;30.000
6/24/2022;12:56:03 AM;2.25;6.666;28.370;6605.000;30.000
6/24/2022;12:56:18 AM;2.50;6.722;28.290;6594.000;30.000
6/24/2022;12:56:33 AM;2.75;6.713;28.300;6579.000;30.000
6/24/2022;12:56:48 AM;3.00;6.777;28.220;6574.000;30.000
6/24/2022;12:57:03 AM;3.25;6.846;28.130;6569.000;30.000
6/24/2022;12:57:19 AM;3.50;6.789;28.210;6538.000;30.000
6/24/2022;12:57:34 AM;3.75;6.893;28.080;6535.000;30.000
6/24/2022;12:57:49 AM;4.00;6.984;27.960;6520.000;30.000
6/24/2022;12:58:04 AM;4.25;6.995;27.950;6478.000;30.000
6/24/2022;12:58:19 AM;4.50;7.068;27.860;6448.000;30.000
6/24/2022;12:58:34 AM;4.75;7.129;27.780;6433.000;30.000
6/24/2022;12:58:49 AM;5.00;7.202;27.690;6439.000;30.000
6/24/2022;12:59:04 AM;5.25;7.179;27.720;6417.000;30.000
6/24/2022;12:59:19 AM;5.50;7.109;27.810;6433.000;30.000
6/24/2022;12:59:34 AM;5.75;7.289;27.590;6396.000;30.000
6/24/2022;12:59:49 AM;6.00;7.159;27.750;6415.000;30.000
6/24/2022;1:00:04 AM;6.25;7.331;27.540;6399.000;30.000
6/24/2022;1:00:19 AM;6.50;7.271;27.610;6402.000;30.000
6/24/2022;1:00:33 AM;6.75;7.141;27.770;6391.000;30.000
6/24/2022;1:00:49 AM;7.00;7.226;27.660;6408.000;30.000
6/24/2022;1:01:04 AM;7.25;7.327;27.540;6396.000;30.000
6/24/2022;1:01:19 AM;7.50;7.189;27.710;6395.000;30.000
6/24/2022;1:01:34 AM;7.75;7.253;27.630;6400.000;30.000
6/24/2022;1:01:49 AM;8.00;7.265;27.620;6391.000;30.000
6/24/2022;1:02:04 AM;8.25;7.182;27.720;6396.000;30.000
6/24/2022;1:02:19 AM;8.50;7.136;27.770;6407.000;30.000
6/24/2022;1:02:34 AM;8.75;7.373;27.490;6391.000;30.000
6/24/2022;1:02:49 AM;9.00;7.203;27.690;6399.000;30.000
6/24/2022;1:03:04 AM;9.25;7.145;27.760;6385.000;30.000
6/24/2022;1:03:19 AM;9.50;7.294;27.580;6370.000;30.000
6/24/2022;1:03:34 AM;9.75;7.239;27.650;6376.000;30.000
6/24/2022;1:03:49 AM;10.00;7.220;27.670;6382.000;30.000
6/24/2022;1:04:04 AM;10.25;7.386;27.470;6371.000;30.000
6/24/2022;1:04:19 AM;10.50;7.231;27.660;6373.000;30.000
