6/24/2022/12:53 AM SW ver:OXY10v3_33
Header Ch-10
Description: 
IDENTIFICATION
PHIboard number   : v1230828
PM number         : 00000000
Serial number     : S DUK 0001 000004   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 100
Ref LED current   : 070
Ref LED amplitude : 95452
Frequency         : 006
Sending interval  : 0001
Averaging         : 8
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 1
0%a.s.phase 1     : 53.99 at 024.7°C amp 009500
100.00%a.s.phase 2: 27.39 at 024.7°C amp 004500
Date   (ddmmyy)   : 180216
Pressure (mBar)   : 0973

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 973
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
6/24/2022;12:53:51 AM;0.00;6.662;27.210;4160.000;30.000
6/24/2022;12:53:52 AM;0.02;6.767;27.040;4168.000;30.000
6/24/2022;12:54:04 AM;0.22;6.722;27.110;4169.000;30.000
6/24/2022;12:54:19 AM;0.47;6.713;27.120;4168.000;30.000
6/24/2022;12:54:34 AM;0.72;6.673;27.190;4176.000;30.000
6/24/2022;12:54:49 AM;0.97;6.664;27.200;4168.000;30.000
6/24/2022;12:55:04 AM;1.22;6.677;27.180;4170.000;30.000
6/24/2022;12:55:19 AM;1.47;6.781;27.020;4162.000;30.000
6/24/2022;12:55:34 AM;1.72;6.773;27.030;4164.000;30.000
6/24/2022;12:55:49 AM;1.97;6.692;27.160;4171.000;30.000
6/24/2022;12:56:04 AM;2.22;6.668;27.200;4173.000;30.000
6/24/2022;12:56:19 AM;2.47;6.734;27.090;4166.000;30.000
6/24/2022;12:56:34 AM;2.72;6.681;27.170;4164.000;30.000
6/24/2022;12:56:49 AM;2.97;6.744;27.080;4164.000;30.000
6/24/2022;12:57:04 AM;3.22;6.791;27.000;4171.000;30.000
6/24/2022;12:57:19 AM;3.47;6.679;27.180;4174.000;30.000
6/24/2022;12:57:34 AM;3.72;6.688;27.160;4168.000;30.000
6/24/2022;12:57:49 AM;3.97;6.696;27.150;4169.000;30.000
6/24/2022;12:58:04 AM;4.22;6.677;27.180;4165.000;30.000
6/24/2022;12:58:19 AM;4.47;6.705;27.140;4165.000;30.000
6/24/2022;12:58:35 AM;4.72;6.728;27.100;4157.000;30.000
6/24/2022;12:58:50 AM;4.97;6.642;27.240;4161.000;30.000
6/24/2022;12:59:04 AM;5.22;6.701;27.140;4165.000;30.000
6/24/2022;12:59:20 AM;5.47;6.696;27.150;4161.000;30.000
6/24/2022;12:59:35 AM;5.72;6.685;27.170;4158.000;30.000
6/24/2022;12:59:50 AM;5.97;6.645;27.230;4154.000;30.000
6/24/2022;1:00:05 AM;6.22;6.666;27.200;4158.000;30.000
6/24/2022;1:00:20 AM;6.47;6.691;27.160;4162.000;30.000
6/24/2022;1:00:34 AM;6.72;6.732;27.100;4162.000;30.000
6/24/2022;1:00:50 AM;6.97;6.712;27.130;4155.000;30.000
6/24/2022;1:01:04 AM;7.22;6.704;27.140;4163.000;30.000
6/24/2022;1:01:20 AM;7.47;6.741;27.080;4154.000;30.000
6/24/2022;1:01:35 AM;7.72;6.691;27.160;4162.000;30.000
6/24/2022;1:01:49 AM;7.97;6.757;27.060;4163.000;30.000
6/24/2022;1:02:05 AM;8.22;6.799;26.990;4163.000;30.000
