6/24/2022/12:53 AM SW ver:OXY10v3_33
Header Ch-6
Description: 
IDENTIFICATION
PHIboard number   : v1230824
PM number         : 00000000
Serial number     : S DUK 0001 000004   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 100
Ref LED current   : 059
Ref LED amplitude : 90546
Frequency         : 006
Sending interval  : 0001
Averaging         : 9
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 1
0%a.s.phase 1     : 52.87 at 024.7°C amp 008100
100.00%a.s.phase 2: 27.78 at 024.7°C amp 004000
Date   (ddmmyy)   : 180216
Pressure (mBar)   : 0973

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 973
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
6/24/2022;12:53:41 AM;0.00;6.628;27.560;3797.000;30.000
6/24/2022;12:53:46 AM;0.10;6.653;27.520;3785.000;30.000
6/24/2022;12:54:01 AM;0.34;6.684;27.470;3738.000;30.000
6/24/2022;12:54:16 AM;0.59;6.747;27.370;3756.000;30.000
6/24/2022;12:54:31 AM;0.85;6.604;27.600;3792.000;30.000
6/24/2022;12:54:46 AM;1.09;6.617;27.580;3801.000;30.000
6/24/2022;12:55:01 AM;1.34;6.660;27.510;3798.000;30.000
6/24/2022;12:55:16 AM;1.59;6.545;27.690;3799.000;30.000
6/24/2022;12:55:31 AM;1.84;6.564;27.660;3804.000;30.000
6/24/2022;12:55:46 AM;2.09;6.528;27.720;3798.000;30.000
6/24/2022;12:56:01 AM;2.34;6.578;27.640;3794.000;30.000
6/24/2022;12:56:16 AM;2.59;6.633;27.550;3786.000;30.000
6/24/2022;12:56:31 AM;2.84;6.601;27.600;3792.000;30.000
6/24/2022;12:56:46 AM;3.09;6.657;27.520;3777.000;30.000
6/24/2022;12:57:01 AM;3.34;6.632;27.560;3777.000;30.000
6/24/2022;12:57:16 AM;3.60;6.577;27.640;3769.000;30.000
6/24/2022;12:57:31 AM;3.85;6.729;27.400;3757.000;30.000
6/24/2022;12:57:46 AM;4.10;6.728;27.410;3757.000;30.000
6/24/2022;12:58:01 AM;4.35;6.722;27.410;3750.000;30.000
6/24/2022;12:58:16 AM;4.60;6.825;27.250;3741.000;30.000
6/24/2022;12:58:31 AM;4.85;6.836;27.240;3743.000;30.000
6/24/2022;12:58:46 AM;5.10;6.800;27.290;3733.000;30.000
6/24/2022;12:59:01 AM;5.35;6.617;27.580;3738.000;30.000
6/24/2022;12:59:16 AM;5.60;6.828;27.250;3737.000;30.000
6/24/2022;12:59:31 AM;5.85;6.828;27.250;3726.000;30.000
6/24/2022;12:59:46 AM;6.10;6.849;27.220;3726.000;30.000
6/24/2022;1:00:01 AM;6.35;6.807;27.280;3726.000;30.000
6/24/2022;1:00:16 AM;6.60;6.809;27.280;3728.000;30.000
6/24/2022;1:00:31 AM;6.84;6.855;27.210;3733.000;30.000
6/24/2022;1:00:46 AM;7.10;6.770;27.340;3731.000;30.000
6/24/2022;1:01:01 AM;7.34;6.941;27.080;3722.000;30.000
6/24/2022;1:01:16 AM;7.60;6.777;27.330;3719.000;30.000
6/24/2022;1:01:31 AM;7.85;6.837;27.240;3713.000;30.000
6/24/2022;1:01:46 AM;8.10;6.809;27.280;3723.000;30.000
6/24/2022;1:02:01 AM;8.35;6.773;27.330;3715.000;30.000
6/24/2022;1:02:16 AM;8.60;6.832;27.240;3724.000;30.000
6/24/2022;1:02:31 AM;8.84;6.886;27.160;3736.000;30.000
6/24/2022;1:02:46 AM;9.10;6.738;27.390;3710.000;30.000
6/24/2022;1:03:01 AM;9.35;6.770;27.340;3723.000;30.000
6/24/2022;1:03:16 AM;9.59;6.799;27.300;3725.000;30.000
6/24/2022;1:03:31 AM;9.85;6.793;27.300;3720.000;30.000
6/24/2022;1:03:46 AM;10.10;6.745;27.380;3718.000;30.000
6/24/2022;1:04:01 AM;10.35;6.904;27.140;3721.000;30.000
