"","inflection","id","real","values","rounded","imagine"
"114",44.2353089553313-0.0000000000007i,"48",44.2353089553313,"    44.2353090",44.24,0
"115",74.0001365445104+0.0000000000058i,"48",74.0001365445104,"    74.0001365",74,0
"116",93.4908302301413-0.0000000000147i,"48",93.4908302301413,"    93.4908302",93.49,0
"117",109.407318502453+0.000000000266i,"48",109.407318502453,"   109.4073185",109.41,0
"118",29.2905260628983+0i,"50",29.2905260628983,"    29.2905261",29.29,0
"119",46.3512167071751-0.0000000000154i,"50",46.3512167071751,"    46.3512167",46.35,0
"120",72.7108754560177+0.000000000075i,"50",72.7108754560177,"    72.7108755",72.71,0
"121",109.838397100009+0.000000000254i,"50",109.838397100009,"   109.8383971",109.84,0
"122",100.243863208453-0.000000000273i,"50",100.243863208453,"   100.2438632",100.24,0
"123",12.6160420133538+5.8536521297504i,"51",12.6160420133538,"    12.6160420",12.62,5.85
"124",12.6160420133537-5.8536521297504i,"51",12.6160420133537,"    12.6160420",12.62,-5.85
"125",39.4786979723174-5.5097190463751i,"51",39.4786979723174,"    39.4786980",39.48,-5.51
"126",39.4786979723185+5.5097190463788i,"51",39.4786979723185,"    39.4786980",39.48,5.51
"127",64.3437610584572-0.0000000000172i,"51",64.3437610584572,"    64.3437611",64.34,0
"128",86.8464619826524+0.0000000000355i,"51",86.8464619826524,"    86.8464620",86.85,0
"129",101.107219112172-0.000000000026i,"51",101.107219112172,"   101.1072191",101.11,0
"130",23.6677856610269+0i,"54",23.6677856610269,"    23.6677857",23.67,0
"131",35.1859648474983-0i,"54",35.1859648474983,"    35.1859648",35.19,0
"132",66.4626223439744+0i,"54",66.4626223439744,"    66.4626223",66.46,0
"133",97.8205132023943-0i,"54",97.8205132023943,"    97.8205132",97.82,0
"134",110.006385172273+0i,"54",110.006385172273,"   110.0063852",110.01,0
"135",26.1207167909044+0i,"57",26.1207167909044,"    26.1207168",26.12,0
"136",40.6128549122801-0.0000000000002i,"57",40.6128549122801,"    40.6128549",40.61,0
"137",67.820390704244+0.0000000000013i,"57",67.820390704244,"    67.8203907",67.82,0
"138",90.4358578893138-0.0000000000024i,"57",90.4358578893138,"    90.4358579",90.44,0
"139",108.620894377192+0.00000000002i,"57",108.620894377192,"   108.6208944",108.62,0
"140",19.7982079542309+0i,"66",19.7982079542309,"    19.7982080",19.8,0
"141",46.0484563182538+0.0680789763936i,"66",46.0484563182538,"    46.0484563",46.05,0.07
"142",46.0484563182536-0.0680789763936i,"66",46.0484563182536,"    46.0484563",46.05,-0.07
"143",80.5445715489258+0.0000000000001i,"66",80.5445715489258,"    80.5445715",80.54,0
"144",11.5261951743159-0i,"73",11.5261951743159,"    11.5261952",11.53,0
"145",27.4025725751495+0i,"73",27.4025725751495,"    27.4025726",27.4,0
"146",43.4331801808967+0.0000000000004i,"73",43.4331801808967,"    43.4331802",43.43,0
"147",71.0051619803395-0.0000000000014i,"73",71.0051619803395,"    71.0051620",71.01,0
"148",101.732324649763+0.000000000004i,"73",101.732324649763,"   101.7323246",101.73,0
"149",113.9114751225-0.000000000004i,"73",113.9114751225,"   113.9114751",113.91,0
"150",16.2064094983691+2.178426740967i,"79",16.2064094983691,"    16.2064095",16.21,2.18
"151",16.2064094983692-2.178426740967i,"79",16.2064094983692,"    16.2064095",16.21,-2.18
"152",32.9015263463996-12.1535331938495i,"79",32.9015263463996,"    32.9015263",32.9,-12.15
"153",32.9015263463995+12.1535331938495i,"79",32.9015263463995,"    32.9015263",32.9,12.15
"154",68.7439709493214+0.0000000000005i,"79",68.7439709493214,"    68.7439709",68.74,0
"155",114.26577959937+0.000000000007i,"79",114.26577959937,"   114.2657796",114.27,0
"156",106.37435246151-0.000000000006i,"79",106.37435246151,"   106.3743525",106.37,0
"157",10.8996165929272-0i,"80",10.8996165929272,"    10.8996166",10.9,0
"158",21.9240636518207-0i,"80",21.9240636518207,"    21.9240637",21.92,0
"159",41.3444202346241-7.7982286986658i,"80",41.3444202346241,"    41.3444202",41.34,-7.8
"160",41.3444202346239+7.7982286986655i,"80",41.3444202346239,"    41.3444202",41.34,7.8
"161",72.5438316993677+0.0000000000011i,"80",72.5438316993677,"    72.5438317",72.54,0
"162",111.268630884845+0.000000000008i,"80",111.268630884845,"   111.2686309",111.27,0
"163",105.395135704963-0.000000000006i,"80",105.395135704963,"   105.3951357",105.4,0
"164",23.770053706606-0i,"83",23.770053706606,"    23.7700537",23.77,0
"165",38.334386080902+0i,"83",38.334386080902,"    38.3343861",38.33,0
"166",62.7066254069285-0i,"83",62.7066254069285,"    62.7066254",62.71,0
"167",91.0619639383163+0.000000000244i,"83",91.0619639383163,"    91.0619639",91.06,0
"168",111.247477396619-0.000000000508i,"83",111.247477396619,"   111.2474774",111.25,0
"169",12.8814653578181+4.8880136077998i,"85",12.8814653578181,"    12.8814654",12.88,4.89
"170",12.8814653578182-4.8880136077999i,"85",12.8814653578182,"    12.8814654",12.88,-4.89
"171",39.9398318793234-10.7236275681705i,"85",39.9398318793234,"    39.9398319",39.94,-10.72
"172",39.9398318793026+10.7236275681764i,"85",39.9398318793026,"    39.9398319",39.94,10.72
"173",65.194808727383-0.0000000000576i,"85",65.194808727383,"    65.1948087",65.19,0
"174",110.064047661143-0.0000000003i,"85",110.064047661143,"   110.0640477",110.06,0
"175",98.7194654039606+0.0000000002792i,"85",98.7194654039606,"    98.7194654",98.72,0
"176",12.6228722589025+0i,"87",12.6228722589025,"    12.6228723",12.62,0
"177",26.1016392563506-0.0000000000006i,"87",26.1016392563506,"    26.1016393",26.1,0
"178",44.7277418271872+0.0000000000011i,"87",44.7277418271872,"    44.7277418",44.73,0
"179",73.4027548562364+0.0000000000017i,"87",73.4027548562364,"    73.4027549",73.4,0
"180",101.762575358339+3.913293452884i,"87",101.762575358339,"   101.7625754",101.76,3.91
"181",101.762575358306-3.913293452883i,"87",101.762575358306,"   101.7625754",101.76,-3.91
"182",26.8905110400066+0i,"107",26.8905110400066,"    26.8905110",26.89,0
"183",29.3181197729405+0i,"107",29.3181197729405,"    29.3181198",29.32,0
"184",65.8042464837023-0.0000000000001i,"107",65.8042464837023,"    65.8042465",65.8,0
"185",90.8829986142689-0.0000000000026i,"107",90.8829986142689,"    90.8829986",90.88,0
"186",104.995728717197+0.000000000069i,"107",104.995728717197,"   104.9957287",105,0
"187",17.6962590827689-0i,"109",17.6962590827689,"    17.6962591",17.7,0
"188",34.2128858410197-0i,"109",34.2128858410197,"    34.2128858",34.21,0
"189",62.7548899058929+0.0000000000002i,"109",62.7548899058929,"    62.7548899",62.75,0
"190",95.686706550104+1.6773423485636i,"109",95.686706550104,"    95.6867066",95.69,1.68
"191",95.6867065501003-1.6773423485637i,"109",95.6867065501003,"    95.6867066",95.69,-1.68
"192",24.3651979173645-7.9727351411664i,"112",24.3651979173645,"    24.3651979",24.37,-7.97
"193",24.3651979173646+7.9727351411664i,"112",24.3651979173646,"    24.3651979",24.37,7.97
"194",64.2323403781826-0.0000000000004i,"112",64.2323403781826,"    64.2323404",64.23,0
"195",105.229414274641-3.440312762172i,"112",105.229414274641,"   105.2294143",105.23,-3.44
"196",105.229414274635+3.440312762172i,"112",105.229414274635,"   105.2294143",105.23,3.44
"197",21.982947609615+0i,"113",21.982947609615,"    21.9829476",21.98,0
"198",44.4652153011791-4.1130219261661i,"113",44.4652153011791,"    44.4652153",44.47,-4.11
"199",44.4652153011786+4.1130219261634i,"113",44.4652153011786,"    44.4652153",44.47,4.11
"200",72.3138616998437+0.0000000000128i,"113",72.3138616998437,"    72.3138617",72.31,0
"201",99.4875611170884-0.0000000000887i,"113",99.4875611170884,"    99.4875611",99.49,0
"202",114.320456508256+0.000000000147i,"113",114.320456508256,"   114.3204565",114.32,0
"203",13.1400982050056-0i,"131",13.1400982050056,"    13.1400982",13.14,0
"204",26.2086279214232+0i,"131",26.2086279214232,"    26.2086279",26.21,0
"205",16.5105718280148-22.353032962184i,"131",16.5105718280148,"    16.5105718",16.51,-22.35
"206",16.5105718280148+22.353032962184i,"131",16.5105718280148,"    16.5105718",16.51,22.35
"207",55.0969314630061-0.0000000000002i,"131",55.0969314630061,"    55.0969315",55.1,0
"208",85.835515965795-0.0000000003104i,"131",85.835515965795,"    85.8355160",85.84,0
"209",106.709706696625+0.00000000067i,"131",106.709706696625,"   106.7097067",106.71,0
"210",12.4955087360294+0i,"136",12.4955087360294,"    12.4955087",12.5,0
"211",29.2513965319237-0.0000000000002i,"136",29.2513965319237,"    29.2513965",29.25,0
"212",51.6124502076696+0.0000000000014i,"136",51.6124502076696,"    51.6124502",51.61,0
"213",72.4003963456096-0.0000000000024i,"136",72.4003963456096,"    72.4003963",72.4,0
"214",92.4283859698564+0.000000000001i,"136",92.4283859698564,"    92.4283860",92.43,0
"215",107.165058002616+0.000000000001i,"136",107.165058002616,"   107.1650580",107.17,0
"216",21.7685674666246+0.0000000000004i,"138",21.7685674666246,"    21.7685675",21.77,0
"217",37.7728713844614-0.0000000000086i,"138",37.7728713844614,"    37.7728714",37.77,0
"218",63.0541017854882+0.0000000000343i,"138",63.0541017854882,"    63.0541018",63.05,0
"219",90.2801836934753-0.0000000000789i,"138",90.2801836934753,"    90.2801837",90.28,0
"220",106.30301070883+0.00000000007i,"138",106.30301070883,"   106.3030107",106.3,0
"221",22.6813514539634+0i,"141",22.6813514539634,"    22.6813515",22.68,0
"222",47.7005072691107-0i,"141",47.7005072691107,"    47.7005073",47.7,0
"223",67.9311835214427-6.2776411916301i,"141",67.9311835214427,"    67.9311835",67.93,-6.28
"224",67.9311835214423+6.27764119163i,"141",67.9311835214423,"    67.9311835",67.93,6.28
"225",99.3730759417298-0.0000000000001i,"141",99.3730759417298,"    99.3730759",99.37,0
"226",112.490410974324+0i,"141",112.490410974324,"   112.4904110",112.49,0
"227",10.4455119964604+0i,"143",10.4455119964604,"    10.4455120",10.45,0
"228",24.890667568476+0.000000000001i,"143",24.890667568476,"    24.8906676",24.89,0
"229",42.304416586114-0.0000000000044i,"143",42.304416586114,"    42.3044166",42.3,0
"230",67.3539286337572+0.0000000000118i,"143",67.3539286337572,"    67.3539286",67.35,0
"231",97.0220425170373-14.047899656165i,"143",97.0220425170373,"    97.0220425",97.02,-14.05
"232",97.0220425170616+14.0478996561705i,"143",97.0220425170616,"    97.0220425",97.02,14.05
"233",11.2201406753296+5.7702843296046i,"145",11.2201406753296,"    11.2201407",11.22,5.77
"234",11.2201406753295-5.7702843296046i,"145",11.2201406753295,"    11.2201407",11.22,-5.77
"235",39.1017257413414-2.0209463216525i,"145",39.1017257413414,"    39.1017257",39.1,-2.02
"236",39.101725741341+2.0209463216523i,"145",39.101725741341,"    39.1017257",39.1,2.02
"237",73.7466231433293+0.0000000000013i,"145",73.7466231433293,"    73.7466231",73.75,0
"238",107.883896853006+7.326001192866i,"145",107.883896853006,"   107.8838969",107.88,7.33
"239",107.883896852846-7.326001192818i,"145",107.883896852846,"   107.8838969",107.88,-7.33
"240",23.8321891926646+0i,"146",23.8321891926646,"    23.8321892",23.83,0
"241",45.9509631972929+0.0000000000003i,"146",45.9509631972929,"    45.9509632",45.95,0
"242",58.037417766729-0.0000000000009i,"146",58.037417766729,"    58.0374178",58.04,0
"243",77.3706090069762+0.0000000000013i,"146",77.3706090069762,"    77.3706090",77.37,0
"244",112.041936912026+0.000000000003i,"146",112.041936912026,"   112.0419369",112.04,0
"245",105.789040210542-0.000000000003i,"146",105.789040210542,"   105.7890402",105.79,0
"246",22.6249894423485+0i,"153",22.6249894423485,"    22.6249894",22.62,0
"247",44.7594675343246-3.4008356411871i,"153",44.7594675343246,"    44.7594675",44.76,-3.4
"248",44.7594675343218+3.4008356411861i,"153",44.7594675343218,"    44.7594675",44.76,3.4
"249",72.9625280354405+0.0000000000028i,"153",72.9625280354405,"    72.9625280",72.96,0
"250",99.9050594694395-0.0000000000636i,"153",99.9050594694395,"    99.9050595",99.91,0
"251",114.834199451691+0.000000000126i,"153",114.834199451691,"   114.8341995",114.83,0
"252",26.350340900386+0.0000000000002i,"154",26.350340900386,"    26.3503409",26.35,0
"253",30.8512450942808-0.0000000000006i,"154",30.8512450942808,"    30.8512451",30.85,0
"254",54.6442825189672+0.0000000000023i,"154",54.6442825189672,"    54.6442825",54.64,0
"255",69.6487979482057-0.000000000003i,"154",69.6487979482057,"    69.6487979",69.65,0
"256",98.7365153093359+0.0000000000002i,"154",98.7365153093359,"    98.7365153",98.74,0
"257",12.762005204072-0i,"156",12.762005204072,"    12.7620052",12.76,0
"258",27.6933943802382+0i,"156",27.6933943802382,"    27.6933944",27.69,0
"259",45.3664665435116-0i,"156",45.3664665435116,"    45.3664665",45.37,0
"260",73.0843800840195+0i,"156",73.0843800840195,"    73.0843801",73.08,0
"261",107.628761185191+0.953439073842i,"156",107.628761185191,"   107.6287612",107.63,0.95
"262",107.62876118519-0.953439073834i,"156",107.62876118519,"   107.6287612",107.63,-0.95
"263",29.3507084106076-0.0000000000009i,"158",29.3507084106076,"    29.3507084",29.35,0
"264",39.3001430070312+0.0000000000013i,"158",39.3001430070312,"    39.3001430",39.3,0
"265",68.6438019913267-0.0000000000007i,"158",68.6438019913267,"    68.6438020",68.64,0
"266",97.5834035787039+0i,"158",97.5834035787039,"    97.5834036",97.58,0
"267",112.964958854895+0.000000000001i,"158",112.964958854895,"   112.9649589",112.96,0
"268",19.1569435463295+0.0000000000014i,"159",19.1569435463295,"    19.1569435",19.16,0
"269",14.9639711251508+17.5848044382359i,"159",14.9639711251508,"    14.9639711",14.96,17.58
"270",14.9639711251502-17.5848044382365i,"159",14.9639711251502,"    14.9639711",14.96,-17.58
"271",38.8108417455579-0.0000000000008i,"159",38.8108417455579,"    38.8108417",38.81,0
"272",64.3083637972918+0.0000000000007i,"159",64.3083637972918,"    64.3083638",64.31,0
"273",92.1845876308525-0.000000000003i,"159",92.1845876308525,"    92.1845876",92.18,0
"274",108.90827985216+0.000000000004i,"159",108.90827985216,"   108.9082799",108.91,0
"275",11.5495063998938+3.5001975314061i,"165",11.5495063998938,"    11.5495064",11.55,3.5
"276",11.5495063998939-3.5001975314062i,"165",11.5495063998939,"    11.5495064",11.55,-3.5
"277",45.9390198578808-11.5739002022838i,"165",45.9390198578808,"    45.9390199",45.94,-11.57
"278",45.93901985788+11.5739002022829i,"165",45.93901985788,"    45.9390199",45.94,11.57
"279",74.6807441672302+0.0000000001034i,"165",74.6807441672302,"    74.6807442",74.68,0
"280",90.6560011951788-0.0000000002721i,"165",90.6560011951788,"    90.6560012",90.66,0
"281",113.751255713475+0.000000000289i,"165",113.751255713475,"   113.7512557",113.75,0
"282",20.9227735467432+0i,"166",20.9227735467432,"    20.9227735",20.92,0
"283",37.424484121857-0.0000000000005i,"166",37.424484121857,"    37.4244841",37.42,0
"284",67.243237328842+0.0000000002806i,"166",67.243237328842,"    67.2432373",67.24,0
"285",75.0943589812708+13.6689679182478i,"166",75.0943589812708,"    75.0943590",75.09,13.67
"286",75.0943589808631-13.6689679183829i,"166",75.0943589808631,"    75.0943590",75.09,-13.67
"287",109.522475821152-0.000000000281i,"166",109.522475821152,"   109.5224758",109.52,0
"288",24.747980883691+0i,"168",24.747980883691,"    24.7479809",24.75,0
"289",43.80922606013-0.0000000000002i,"168",43.80922606013,"    43.8092261",43.81,0
"290",70.0898610061376+0.0000000000004i,"168",70.0898610061376,"    70.0898610",70.09,0
"291",87.2837508004795-0.0000000000107i,"168",87.2837508004795,"    87.2837508",87.28,0
"292",104.176363081232+0.000000000018i,"168",104.176363081232,"   104.1763631",104.18,0
"293",11.0374674505879-0i,"171",11.0374674505879,"    11.0374675",11.04,0
"294",27.5524927921823+0.0000000000295i,"171",27.5524927921823,"    27.5524928",27.55,0
"295",44.3549143801404-0.0000000001338i,"171",44.3549143801404,"    44.3549144",44.35,0
"296",65.0340709077244+0.000000000299i,"171",65.0340709077244,"    65.0340709",65.03,0
"297",85.9459363938029-0.0000000003118i,"171",85.9459363938029,"    85.9459364",85.95,0
"298",105.354874264441-0.000000000948i,"171",105.354874264441,"   105.3548743",105.35,0
"299",23.7996066479969+0i,"173",23.7996066479969,"    23.7996066",23.8,0
"300",47.8944191195228+0.000000000142i,"173",47.8944191195228,"    47.8944191",47.89,0
"301",88.5321781458374-0.0000000020533i,"173",88.5321781458374,"    88.5321781",88.53,0
"302",73.874136476981+9.9868193771195i,"173",73.8741364769811,"    73.8741365",73.87,9.99
"303",73.8741364752887-9.9868193757418i,"173",73.8741364752887,"    73.8741365",73.87,-9.99
"304",109.662056087975+0.000000001136i,"173",109.662056087975,"   109.6620561",109.66,0
"305",25.6198819637461+0i,"175",25.6198819637461,"    25.6198820",25.62,0
"306",39.9358156781798-0.0000000000032i,"175",39.9358156781798,"    39.9358157",39.94,0
"307",63.8304161114739+0.0000000000139i,"175",63.8304161114739,"    63.8304161",63.83,0
"308",87.9209144099749-0.0000000000278i,"175",87.9209144099749,"    87.9209144",87.92,0
"309",105.960469855019+0.000000000026i,"175",105.960469855019,"   105.9604699",105.96,0
"310",26.8846391929474+0.0000000000001i,"179",26.8846391929474,"    26.8846392",26.88,0
"311",38.7453092621434-0.0000000000002i,"179",38.7453092621434,"    38.7453093",38.75,0
"312",67.9353632874953+0.0000000000002i,"179",67.9353632874953,"    67.9353633",67.94,0
"313",95.0156811127179-0.0000000000066i,"179",95.0156811127179,"    95.0156811",95.02,0
"314",108.924182665273+0.0000000002i,"179",108.924182665273,"   108.9241827",108.92,0
"315",14.7215906460708+0i,"194",14.7215906460708,"    14.7215906",14.72,0
"316",37.2818101142931-0i,"194",37.2818101142931,"    37.2818101",37.28,0
"317",49.8943956989516+0i,"194",49.8943956989516,"    49.8943957",49.89,0
"318",67.5142974265327-0i,"194",67.5142974265327,"    67.5142974",67.51,0
"319",105.4206213106+0i,"194",105.4206213106,"   105.4206213",105.42,0
"320",94.9387419953398-0i,"194",94.9387419953398,"    94.9387420",94.94,0
"321",25.6595886817059+0.0000000000041i,"201",25.6595886817059,"    25.6595887",25.66,0
"322",42.7886010284474-0.0000000000143i,"201",42.7886010284474,"    42.7886010",42.79,0
