"","id","statistic","p.value","r.squared","adj.r.squared","sigma","df","logLik","AIC","BIC","deviance","df.residual","nobs","term","estimate","std.error"
"34","4",12.6060793026217,4.41647337489554e-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)3",0.00176648441169508,0.000140129565211262
"35","4",536.680701977892,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Intercept)",10.6710912157373,0.0198835008905851
"36","4",15070.3704496655,0,0.992917319965505,0.992851434569835,0.066358366846709,10,1410.53716795776,-2797.07433591552,-2737.19125790959,4.73369031435458,1075,1086,NA,NA,NA
"37","5",-5.83503501203937,7.17939301660575e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)8",-1.0547125027223e-12,1.80755128383313e-13
"38","5",-5.78334529190729,9.68133682827445e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)10",-5.68781150092886e-18,9.83481223036758e-19
"39","5",-5.76197529708652,1.0947604071034e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)6",-1.55788100500979e-08,2.70372732385284e-09
"40","5",-5.56829213975631,3.27461883225429e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)4",-3.40291202697301e-05,6.1112311307753e-06
"41","5",-5.22719703897677,2.07974171676521e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)2",-0.00885467626626294,0.00169396259606013
"42","5",3.17435419324029,0.00154584452524325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)1",0.0304973076262405,0.00960740540270639
"43","5",5.41288400440201,7.70064517128708e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)3",0.000744037810375273,0.000137456817801783
