6/23/2022/9:53 PM SW ver:OXY10v3_33
Header Ch-4
Description: 
IDENTIFICATION
PHIboard number   : v1240412
PM number         : 00000000
Serial number     : S DUK 0001 000004   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 100
Ref LED current   : 060
Ref LED amplitude : 112083
Frequency         : 006
Sending interval  : 0001
Averaging         : 8
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 1
0%a.s.phase 1     : 51.65 at 024.7°C amp 009200
100.00%a.s.phase 2: 27.86 at 024.7°C amp 004600
Date   (ddmmyy)   : 121117
Pressure (mBar)   : 0973

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 973
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
6/23/2022;9:53:04 PM;0.00;6.951;27.070;4367.000;30.000
6/23/2022;9:53:10 PM;0.10;6.896;27.150;4381.000;30.000
6/23/2022;9:53:25 PM;0.34;6.941;27.080;4374.000;30.000
6/23/2022;9:53:40 PM;0.60;6.933;27.090;4376.000;30.000
6/23/2022;9:53:55 PM;0.85;7.008;26.980;4384.000;30.000
6/23/2022;9:54:10 PM;1.10;6.907;27.130;4381.000;30.000
6/23/2022;9:54:25 PM;1.34;7.003;26.990;4376.000;30.000
6/23/2022;9:54:40 PM;1.60;6.928;27.100;4373.000;30.000
6/23/2022;9:54:55 PM;1.85;6.983;27.020;4383.000;30.000
6/23/2022;9:55:10 PM;2.09;6.956;27.060;4380.000;30.000
6/23/2022;9:55:25 PM;2.35;6.950;27.070;4376.000;30.000
6/23/2022;9:55:40 PM;2.60;6.909;27.130;4375.000;30.000
6/23/2022;9:55:55 PM;2.85;6.949;27.070;4370.000;30.000
6/23/2022;9:56:10 PM;3.09;6.947;27.070;4378.000;30.000
6/23/2022;9:56:25 PM;3.35;6.897;27.150;4380.000;30.000
6/23/2022;9:56:40 PM;3.60;6.962;27.050;4364.000;30.000
6/23/2022;9:56:55 PM;3.85;6.974;27.030;4378.000;30.000
6/23/2022;9:57:10 PM;4.10;6.951;27.070;4376.000;30.000
6/23/2022;9:57:25 PM;4.35;6.929;27.100;4383.000;30.000
6/23/2022;9:57:40 PM;4.59;6.945;27.080;4373.000;30.000
6/23/2022;9:57:55 PM;4.85;6.889;27.160;4369.000;30.000
6/23/2022;9:58:10 PM;5.09;7.038;26.940;4366.000;30.000
6/23/2022;9:58:25 PM;5.34;7.097;26.850;4336.000;30.000
6/23/2022;9:58:40 PM;5.60;7.106;26.840;4319.000;30.000
6/23/2022;9:58:55 PM;5.85;7.191;26.720;4312.000;30.000
6/23/2022;9:59:10 PM;6.10;7.123;26.820;4304.000;30.000
6/23/2022;9:59:25 PM;6.34;7.184;26.730;4296.000;30.000
6/23/2022;9:59:40 PM;6.60;7.155;26.770;4308.000;30.000
