6/22/2022/11:17 AM SW ver:OXY10v3_33
Header Ch-8
Description: 
IDENTIFICATION
PHIboard number   : v1230826
PM number         : 00000000
Serial number     : S DUK 0001 000004   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 100
Ref LED current   : 060
Ref LED amplitude : 100718
Frequency         : 006
Sending interval  : 0001
Averaging         : 6
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 1
0%a.s.phase 1     : 48.29 at 024.7°C amp 011900
100.00%a.s.phase 2: 27.66 at 024.7°C amp 006300
Date   (ddmmyy)   : 180216
Pressure (mBar)   : 0979

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 979
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
6/22/2022;11:17:06 AM;0.00;6.665;27.150;6272.000;30.000
6/22/2022;11:17:14 AM;0.13;6.694;27.100;6256.000;30.000
6/22/2022;11:17:29 AM;0.37;6.716;27.070;6256.000;30.000
6/22/2022;11:17:44 AM;0.62;6.674;27.130;6267.000;30.000
6/22/2022;11:17:59 AM;0.87;6.644;27.180;6268.000;30.000
6/22/2022;11:18:14 AM;1.12;6.650;27.170;6262.000;30.000
6/22/2022;11:18:29 AM;1.37;6.725;27.060;6256.000;30.000
6/22/2022;11:18:44 AM;1.62;6.663;27.150;6267.000;30.000
6/22/2022;11:18:59 AM;1.87;6.658;27.160;6272.000;30.000
6/22/2022;11:19:14 AM;2.12;6.582;27.270;6262.000;30.000
6/22/2022;11:19:29 AM;2.37;6.631;27.200;6256.000;30.000
6/22/2022;11:19:44 AM;2.62;6.631;27.200;6266.000;30.000
6/22/2022;11:19:59 AM;2.87;6.695;27.100;6270.000;30.000
6/22/2022;11:20:14 AM;3.12;6.701;27.090;6266.000;30.000
6/22/2022;11:20:29 AM;3.37;6.626;27.200;6261.000;30.000
6/22/2022;11:20:44 AM;3.62;6.706;27.080;6256.000;30.000
6/22/2022;11:20:59 AM;3.87;6.698;27.100;6262.000;30.000
