6/23/2022/12:49 PM SW ver:OXY10v3_33
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1230819
PM number         : 00000000
Serial number     : S DUK 0001 000004   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 100
Ref LED current   : 050
Ref LED amplitude : 102326
Frequency         : 006
Sending interval  : 0001
Averaging         : 5
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 1
0%a.s.phase 1     : 44.82 at 024.7°C amp 013100
100.00%a.s.phase 2: 28.42 at 024.7°C amp 007800
Date   (ddmmyy)   : 121117
Pressure (mBar)   : 0973

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 973
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
6/23/2022;12:49:25 PM;0.00;6.631;27.500;7116.000;30.000
6/23/2022;12:49:39 PM;0.25;6.582;27.560;7110.000;30.000
6/23/2022;12:49:54 PM;0.50;6.605;27.530;7104.000;30.000
6/23/2022;12:50:09 PM;0.75;6.587;27.560;7110.000;30.000
6/23/2022;12:50:24 PM;1.00;6.571;27.580;7118.000;30.000
6/23/2022;12:50:39 PM;1.25;6.603;27.540;7100.000;30.000
6/23/2022;12:50:55 PM;1.50;6.623;27.510;7112.000;30.000
6/23/2022;12:51:09 PM;1.75;6.613;27.520;7102.000;30.000
6/23/2022;12:51:24 PM;2.00;6.612;27.520;7116.000;30.000
6/23/2022;12:51:39 PM;2.25;6.587;27.560;7115.000;30.000
6/23/2022;12:51:55 PM;2.50;6.682;27.430;7097.000;30.000
6/23/2022;12:52:09 PM;2.75;6.627;27.500;7101.000;30.000
6/23/2022;12:52:24 PM;3.00;6.642;27.480;7106.000;30.000
6/23/2022;12:52:39 PM;3.25;6.572;27.580;7108.000;30.000
6/23/2022;12:52:55 PM;3.50;6.557;27.600;7110.000;30.000
6/23/2022;12:53:09 PM;3.75;6.572;27.580;7104.000;30.000
6/23/2022;12:53:25 PM;4.00;6.650;27.470;7088.000;30.000
6/23/2022;12:53:39 PM;4.25;6.589;27.550;7109.000;30.000
6/23/2022;12:53:55 PM;4.50;6.594;27.550;7098.000;30.000
6/23/2022;12:54:09 PM;4.75;6.581;27.570;7092.000;30.000
6/23/2022;12:54:24 PM;4.99;6.623;27.510;7103.000;30.000
6/23/2022;12:54:40 PM;5.25;6.569;27.580;7095.000;30.000
6/23/2022;12:54:54 PM;5.50;6.637;27.490;7100.000;30.000
6/23/2022;12:55:09 PM;5.75;6.629;27.500;7090.000;30.000
6/23/2022;12:55:25 PM;6.00;6.627;27.500;7094.000;30.000
6/23/2022;12:55:39 PM;6.25;6.607;27.530;7090.000;30.000
6/23/2022;12:55:54 PM;6.50;6.702;27.400;7090.000;30.000
6/23/2022;12:56:09 PM;6.74;6.659;27.460;7085.000;30.000
6/23/2022;12:56:24 PM;7.00;6.655;27.460;7095.000;30.000
6/23/2022;12:56:39 PM;7.25;6.670;27.440;7095.000;30.000
6/23/2022;12:56:54 PM;7.50;6.636;27.490;7098.000;30.000
6/23/2022;12:57:10 PM;7.75;6.604;27.530;7086.000;30.000
6/23/2022;12:57:24 PM;8.00;6.628;27.500;7073.000;30.000
6/23/2022;12:57:39 PM;8.25;6.635;27.490;7078.000;30.000
6/23/2022;12:57:54 PM;8.50;6.642;27.480;7075.000;30.000
6/23/2022;12:58:09 PM;8.75;6.645;27.480;7080.000;30.000
6/23/2022;12:58:25 PM;9.00;6.618;27.510;7080.000;30.000
6/23/2022;12:58:39 PM;9.25;6.666;27.450;7071.000;30.000
6/23/2022;12:58:55 PM;9.50;6.600;27.540;7077.000;30.000
6/23/2022;12:59:09 PM;9.75;6.662;27.450;7089.000;30.000
6/23/2022;12:59:25 PM;10.00;6.570;27.580;7079.000;30.000
6/23/2022;12:59:39 PM;10.25;6.654;27.460;7088.000;30.000
6/23/2022;12:59:55 PM;10.50;6.650;27.470;7081.000;30.000
6/23/2022;1:00:09 PM;10.75;6.601;27.540;7073.000;30.000
6/23/2022;1:00:25 PM;11.00;6.603;27.530;7080.000;30.000
6/23/2022;1:00:39 PM;11.25;6.656;27.460;7071.000;30.000
6/23/2022;1:00:54 PM;11.50;6.593;27.550;7073.000;30.000
6/23/2022;1:01:09 PM;11.74;6.582;27.560;7074.000;30.000
6/23/2022;1:01:25 PM;12.00;6.676;27.430;7088.000;30.000
6/23/2022;1:01:40 PM;12.25;6.692;27.410;7081.000;30.000
6/23/2022;1:01:54 PM;12.50;6.592;27.550;7075.000;30.000
6/23/2022;1:02:09 PM;12.75;6.566;27.590;7087.000;30.000
6/23/2022;1:02:24 PM;13.00;6.626;27.500;7078.000;30.000
6/23/2022;1:02:39 PM;13.25;6.621;27.510;7079.000;30.000
6/23/2022;1:02:54 PM;13.50;6.705;27.390;7067.000;30.000
6/23/2022;1:03:10 PM;13.75;6.797;27.270;7004.000;30.000
6/23/2022;1:03:25 PM;14.00;6.923;27.100;6950.000;30.000
6/23/2022;1:03:39 PM;14.24;6.997;27.010;6939.000;30.000
6/23/2022;1:03:54 PM;14.50;6.946;27.070;6933.000;30.000
6/23/2022;1:04:09 PM;14.75;7.043;26.950;6939.000;30.000
6/23/2022;1:04:24 PM;15.00;7.033;26.960;6922.000;30.000
6/23/2022;1:04:39 PM;15.25;7.032;26.960;6928.000;30.000
6/23/2022;1:04:55 PM;15.50;7.043;26.950;6928.000;30.000
6/23/2022;1:05:09 PM;15.75;7.000;27.000;6916.000;30.000
6/23/2022;1:05:25 PM;16.00;6.983;27.020;6911.000;30.000
6/23/2022;1:05:40 PM;16.25;7.010;26.990;6912.000;30.000
6/23/2022;1:05:54 PM;16.50;6.989;27.020;6897.000;30.000
6/23/2022;1:06:09 PM;16.75;7.047;26.940;6910.000;30.000
6/23/2022;1:06:24 PM;17.00;7.053;26.930;6896.000;30.000
6/23/2022;1:06:40 PM;17.25;7.040;26.950;6901.000;30.000
6/23/2022;1:06:54 PM;17.50;7.083;26.890;6894.000;30.000
6/23/2022;1:07:09 PM;17.75;7.221;26.720;6873.000;30.000
6/23/2022;1:07:24 PM;18.00;7.150;26.810;6864.000;30.000
6/23/2022;1:07:39 PM;18.25;7.077;26.900;6874.000;30.000
6/23/2022;1:07:55 PM;18.50;7.188;26.760;6862.000;30.000
6/23/2022;1:08:09 PM;18.75;7.155;26.800;6867.000;30.000
6/23/2022;1:08:25 PM;19.00;7.158;26.800;6881.000;30.000
6/23/2022;1:08:39 PM;19.25;7.166;26.790;6878.000;30.000
6/23/2022;1:08:54 PM;19.50;7.161;26.790;6885.000;30.000
6/23/2022;1:09:09 PM;19.75;7.185;26.760;6877.000;30.000
6/23/2022;1:09:25 PM;20.00;7.113;26.860;6871.000;30.000
6/23/2022;1:09:39 PM;20.25;7.116;26.850;6887.000;30.000
6/23/2022;1:09:54 PM;20.50;7.024;26.970;6882.000;30.000
6/23/2022;1:10:09 PM;20.75;7.071;26.910;6877.000;30.000
6/23/2022;1:10:24 PM;21.00;7.131;26.830;6886.000;30.000
6/23/2022;1:10:39 PM;21.25;7.039;26.950;6886.000;30.000
6/23/2022;1:10:54 PM;21.50;7.074;26.900;6889.000;30.000
6/23/2022;1:11:09 PM;21.75;7.076;26.900;6893.000;30.000
6/23/2022;1:11:24 PM;22.00;7.003;27.000;6901.000;30.000
6/23/2022;1:11:39 PM;22.25;7.098;26.870;6897.000;30.000
6/23/2022;1:11:55 PM;22.50;7.085;26.890;6909.000;30.000
6/23/2022;1:12:09 PM;22.75;7.077;26.900;6907.000;30.000
