6/23/2022/6:43 PM SW ver:OXY10v3_33
Header Ch-10
Description: 
IDENTIFICATION
PHIboard number   : v1230828
PM number         : 00000000
Serial number     : S DUK 0001 000004   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 100
Ref LED current   : 070
Ref LED amplitude : 95452
Frequency         : 006
Sending interval  : 0001
Averaging         : 8
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 1
0%a.s.phase 1     : 53.99 at 024.7°C amp 009500
100.00%a.s.phase 2: 27.39 at 024.7°C amp 004500
Date   (ddmmyy)   : 180216
Pressure (mBar)   : 0973

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 973
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
6/23/2022;6:43:22 PM;0.00;7.009;26.670;4026.000;30.000
6/23/2022;6:43:24 PM;0.03;6.870;26.880;4035.000;30.000
6/23/2022;6:43:33 PM;0.19;6.863;26.890;4025.000;30.000
6/23/2022;6:43:48 PM;0.44;6.964;26.740;4025.000;30.000
6/23/2022;6:44:03 PM;0.69;6.952;26.760;4028.000;30.000
6/23/2022;6:44:18 PM;0.94;6.952;26.760;4022.000;30.000
6/23/2022;6:44:34 PM;1.19;6.884;26.860;4029.000;30.000
6/23/2022;6:44:48 PM;1.44;6.859;26.900;4033.000;30.000
6/23/2022;6:45:03 PM;1.69;6.931;26.790;4029.000;30.000
6/23/2022;6:45:18 PM;1.94;6.891;26.850;4042.000;30.000
6/23/2022;6:45:33 PM;2.19;6.954;26.750;4030.000;30.000
6/23/2022;6:45:48 PM;2.44;6.904;26.830;4041.000;30.000
6/23/2022;6:46:03 PM;2.69;6.831;26.940;4028.000;30.000
6/23/2022;6:46:18 PM;2.94;6.976;26.720;4028.000;30.000
6/23/2022;6:46:33 PM;3.19;6.948;26.760;4024.000;30.000
6/23/2022;6:46:48 PM;3.44;6.827;26.950;4027.000;30.000
6/23/2022;6:47:03 PM;3.69;6.941;26.770;4022.000;30.000
6/23/2022;6:47:19 PM;3.94;6.954;26.750;4022.000;30.000
6/23/2022;6:47:34 PM;4.19;6.993;26.700;4031.000;30.000
6/23/2022;6:47:49 PM;4.44;6.894;26.850;4031.000;30.000
6/23/2022;6:48:04 PM;4.69;6.849;26.910;4030.000;30.000
6/23/2022;6:48:19 PM;4.94;6.911;26.820;4033.000;30.000
6/23/2022;6:48:34 PM;5.19;6.924;26.800;4029.000;30.000
6/23/2022;6:48:49 PM;5.44;6.899;26.840;4033.000;30.000
6/23/2022;6:49:03 PM;5.69;6.844;26.920;4034.000;30.000
6/23/2022;6:49:19 PM;5.94;6.815;26.970;4033.000;30.000
6/23/2022;6:49:34 PM;6.19;6.885;26.860;4027.000;30.000
6/23/2022;6:49:48 PM;6.44;6.886;26.860;4033.000;30.000
6/23/2022;6:50:03 PM;6.69;6.789;27.010;4031.000;30.000
6/23/2022;6:50:18 PM;6.94;6.896;26.840;4035.000;30.000
6/23/2022;6:50:34 PM;7.19;6.907;26.830;4037.000;30.000
6/23/2022;6:50:49 PM;7.44;6.896;26.840;4031.000;30.000
6/23/2022;6:51:04 PM;7.69;6.862;26.890;4022.000;30.000
6/23/2022;6:51:19 PM;7.94;6.886;26.860;4024.000;30.000
6/23/2022;6:51:34 PM;8.19;6.841;26.930;4023.000;30.000
6/23/2022;6:51:49 PM;8.44;6.849;26.910;4020.000;30.000
6/23/2022;6:52:04 PM;8.69;6.922;26.800;4025.000;30.000
6/23/2022;6:52:18 PM;8.94;6.875;26.870;4034.000;30.000
6/23/2022;6:52:34 PM;9.19;6.809;26.980;4033.000;30.000
6/23/2022;6:52:49 PM;9.44;6.766;27.040;4030.000;30.000
6/23/2022;6:53:04 PM;9.69;6.868;26.880;4029.000;30.000
6/23/2022;6:53:19 PM;9.94;6.813;26.970;4027.000;30.000
6/23/2022;6:53:34 PM;10.19;6.875;26.870;4031.000;30.000
6/23/2022;6:53:48 PM;10.44;6.863;26.890;4030.000;30.000
6/23/2022;6:54:04 PM;10.69;6.838;26.930;4041.000;30.000
6/23/2022;6:54:19 PM;10.94;6.872;26.880;4038.000;30.000
6/23/2022;6:54:34 PM;11.19;6.869;26.880;4030.000;30.000
6/23/2022;6:54:49 PM;11.44;6.787;27.010;4036.000;30.000
6/23/2022;6:55:04 PM;11.69;6.812;26.970;4035.000;30.000
6/23/2022;6:55:19 PM;11.94;6.722;27.110;4033.000;30.000
