6/23/2022/6:43 PM SW ver:OXY10v3_33
Header Ch-7
Description: 
IDENTIFICATION
PHIboard number   : v1230825
PM number         : 00000000
Serial number     : S DUK 0001 000004   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 100
Ref LED current   : 060
Ref LED amplitude : 100347
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 1
0%a.s.phase 1     : 43.19 at 024.7°C amp 014900
100.00%a.s.phase 2: 27.94 at 024.7°C amp 009100
Date   (ddmmyy)   : 180216
Pressure (mBar)   : 0973

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 973
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
6/23/2022;6:43:20 PM;0.00;6.134;27.600;9922.000;30.000
6/23/2022;6:43:31 PM;0.19;6.169;27.540;9924.000;30.000
6/23/2022;6:43:46 PM;0.44;6.141;27.580;9910.000;30.000
6/23/2022;6:44:01 PM;0.69;6.163;27.550;9926.000;30.000
6/23/2022;6:44:16 PM;0.94;6.189;27.520;9922.000;30.000
6/23/2022;6:44:31 PM;1.19;6.168;27.550;9928.000;30.000
6/23/2022;6:44:46 PM;1.44;6.099;27.640;9919.000;30.000
6/23/2022;6:45:01 PM;1.69;6.136;27.590;9901.000;30.000
6/23/2022;6:45:16 PM;1.94;6.118;27.620;9914.000;30.000
6/23/2022;6:45:31 PM;2.19;6.144;27.580;9926.000;30.000
6/23/2022;6:45:46 PM;2.44;6.168;27.550;9933.000;30.000
6/23/2022;6:46:01 PM;2.69;6.130;27.600;9919.000;30.000
6/23/2022;6:46:16 PM;2.94;6.101;27.640;9925.000;30.000
6/23/2022;6:46:31 PM;3.19;6.114;27.620;9931.000;30.000
6/23/2022;6:46:46 PM;3.44;6.181;27.530;9916.000;30.000
6/23/2022;6:47:01 PM;3.69;6.134;27.600;9927.000;30.000
6/23/2022;6:47:16 PM;3.94;6.120;27.610;9917.000;30.000
6/23/2022;6:47:31 PM;4.19;6.058;27.700;9939.000;30.000
6/23/2022;6:47:46 PM;4.44;6.109;27.630;9935.000;30.000
6/23/2022;6:48:01 PM;4.69;6.104;27.640;9939.000;30.000
6/23/2022;6:48:16 PM;4.94;6.118;27.620;9923.000;30.000
6/23/2022;6:48:31 PM;5.19;6.100;27.640;9937.000;30.000
6/23/2022;6:48:46 PM;5.44;6.152;27.570;9944.000;30.000
6/23/2022;6:49:01 PM;5.69;6.113;27.620;9934.000;30.000
6/23/2022;6:49:16 PM;5.94;6.096;27.650;9943.000;30.000
6/23/2022;6:49:31 PM;6.19;6.102;27.640;9932.000;30.000
6/23/2022;6:49:46 PM;6.44;6.138;27.590;9929.000;30.000
6/23/2022;6:50:01 PM;6.69;6.146;27.580;9935.000;30.000
6/23/2022;6:50:16 PM;6.94;6.118;27.620;9933.000;30.000
6/23/2022;6:50:31 PM;7.19;6.123;27.610;9930.000;30.000
6/23/2022;6:50:46 PM;7.44;6.160;27.560;9916.000;30.000
6/23/2022;6:51:01 PM;7.69;6.118;27.620;9926.000;30.000
6/23/2022;6:51:16 PM;7.94;6.164;27.550;9918.000;30.000
6/23/2022;6:51:31 PM;8.19;6.152;27.570;9903.000;30.000
6/23/2022;6:51:46 PM;8.44;6.124;27.610;9917.000;30.000
6/23/2022;6:52:01 PM;8.69;6.144;27.580;9922.000;30.000
6/23/2022;6:52:16 PM;8.94;6.116;27.620;9912.000;30.000
6/23/2022;6:52:31 PM;9.19;6.186;27.520;9931.000;30.000
6/23/2022;6:52:46 PM;9.44;6.045;27.720;9909.000;30.000
6/23/2022;6:53:01 PM;9.69;6.086;27.660;9926.000;30.000
6/23/2022;6:53:16 PM;9.94;6.092;27.650;9911.000;30.000
6/23/2022;6:53:31 PM;10.19;6.104;27.640;9929.000;30.000
6/23/2022;6:53:46 PM;10.44;6.104;27.640;9914.000;30.000
6/23/2022;6:54:01 PM;10.69;6.148;27.570;9916.000;30.000
6/23/2022;6:54:16 PM;10.94;6.119;27.620;9916.000;30.000
6/23/2022;6:54:31 PM;11.19;6.102;27.640;9919.000;30.000
6/23/2022;6:54:46 PM;11.44;6.126;27.610;9930.000;30.000
6/23/2022;6:55:01 PM;11.69;6.135;27.590;9929.000;30.000
6/23/2022;6:55:16 PM;11.94;6.100;27.640;9928.000;30.000
6/23/2022;6:55:31 PM;12.19;6.109;27.630;9914.000;30.000
6/23/2022;6:55:46 PM;12.44;6.127;27.600;9913.000;30.000
6/23/2022;6:56:01 PM;12.69;6.098;27.650;9906.000;30.000
6/23/2022;6:56:16 PM;12.94;6.137;27.590;9916.000;30.000
6/23/2022;6:56:31 PM;13.19;6.098;27.650;9900.000;30.000
6/23/2022;6:56:46 PM;13.44;6.296;27.370;9810.000;30.000
