6/22/2022/2:20 PM SW ver:OXY10v3_33
Header Ch-7
Description: 
IDENTIFICATION
PHIboard number   : v1230825
PM number         : 00000000
Serial number     : S DUK 0001 000004   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 100
Ref LED current   : 060
Ref LED amplitude : 100559
Frequency         : 006
Sending interval  : 0001
Averaging         : 4
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 1
0%a.s.phase 1     : 43.22 at 024.7°C amp 014800
100.00%a.s.phase 2: 29.32 at 024.7°C amp 009400
Date   (ddmmyy)   : 180216
Pressure (mBar)   : 0979

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 979
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
6/22/2022;2:20:14 PM;0.00;7.134;27.510;9720.000;30.000
6/22/2022;2:20:21 PM;0.11;7.192;27.440;9706.000;30.000
6/22/2022;2:20:36 PM;0.36;7.134;27.510;9736.000;30.000
6/22/2022;2:20:51 PM;0.61;7.096;27.550;9716.000;30.000
6/22/2022;2:21:06 PM;0.86;7.229;27.390;9715.000;30.000
6/22/2022;2:21:21 PM;1.11;7.137;27.500;9699.000;30.000
6/22/2022;2:21:36 PM;1.36;7.160;27.480;9701.000;30.000
6/22/2022;2:21:51 PM;1.61;7.152;27.490;9693.000;30.000
6/22/2022;2:22:06 PM;1.86;7.148;27.490;9693.000;30.000
6/22/2022;2:22:21 PM;2.11;7.186;27.440;9711.000;30.000
6/22/2022;2:22:36 PM;2.36;7.210;27.420;9687.000;30.000
6/22/2022;2:22:51 PM;2.61;7.156;27.480;9701.000;30.000
6/22/2022;2:23:06 PM;2.86;7.183;27.450;9692.000;30.000
6/22/2022;2:23:21 PM;3.11;7.226;27.400;9690.000;30.000
6/22/2022;2:23:36 PM;3.36;7.164;27.470;9695.000;30.000
6/22/2022;2:23:51 PM;3.61;7.178;27.450;9678.000;30.000
6/22/2022;2:24:06 PM;3.86;7.119;27.530;9686.000;30.000
6/22/2022;2:24:21 PM;4.11;7.195;27.430;9689.000;30.000
6/22/2022;2:24:36 PM;4.36;7.168;27.470;9687.000;30.000
6/22/2022;2:24:51 PM;4.61;7.298;27.310;9631.000;30.000
6/22/2022;2:25:06 PM;4.86;7.421;27.160;9548.000;30.000
6/22/2022;2:25:21 PM;5.11;7.508;27.060;9525.000;30.000
6/22/2022;2:25:36 PM;5.36;7.503;27.070;9514.000;30.000
6/22/2022;2:25:51 PM;5.61;7.426;27.160;9535.000;30.000
6/22/2022;2:26:06 PM;5.86;7.425;27.160;9554.000;30.000
6/22/2022;2:26:21 PM;6.11;7.308;27.300;9585.000;30.000
6/22/2022;2:26:36 PM;6.36;7.186;27.440;9608.000;30.000
6/22/2022;2:26:51 PM;6.61;7.154;27.480;9698.000;30.000
6/22/2022;2:27:06 PM;6.86;7.116;27.530;9693.000;30.000
